db1,db2,sim
tcmid,cmaup,37.17
tcmid,foodb,18.97
tcmid,npass,28.76
tcmid,supernatural2,69.68
tcmid,tcmdb_taiwan,63.25
tcmid,tipdb,14.85
tcmid,unpd,71.22
tcmid,zinc_np,48.12
tipdb,chebi_np,20.89
tipdb,cmaup,32.83
tipdb,foodb,23.53
tipdb,knapsack,17.14
tipdb,npass,31.71
tipdb,supernatural2,72.48
tipdb,tcmdb_taiwan,40.08
tipdb,tcmid,21.52
tipdb,unpd,77.70
tipdb,zinc_np,34.30
tppt,analyticon_np,13.33
tppt,chebi_np,47.13
tppt,cmaup,46.94
tppt,etm,12.95
tppt,foodb,33.92
tppt,gnps,13.96
tppt,ibs_np,12.57
tppt,knapsack,13.14
tppt,nanpdb,15.41
tppt,npact,10.42
tppt,npass,45.55
tppt,npedia,12.57
tppt,pubchem_np,11.18
tppt,supernatural2,81.05
tppt,tcmdb_taiwan,54.58
tppt,tcmid,30.95
tppt,tipdb,28.87
tppt,unpd,82.69
tppt,zinc_np,44.09
uefs,chebi_np,21.27
uefs,cmaup,25.84
uefs,conmednp,11.33
uefs,etm,12.72
uefs,foodb,20.28
uefs,nanpdb,13.52
uefs,npass,28.43
uefs,npedia,10.14
uefs,nubbe,13.52
uefs,nubbedb,13.52
uefs,supernatural2,46.72
uefs,tcmdb_taiwan,31.81
uefs,tcmid,19.48
uefs,tipdb,22.27
uefs,unpd,62.23
uefs,zinc_np,86.28
unpd,supernatural2,57.64
zinc_np,supernatural2,35.25
zinc_np,tcmdb_taiwan,28.23
zinc_np,unpd,22.20
